Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Thunderhead,Neal Shusterman,"",9781442472457,hardcover,read,2023/10/04,2023/10/07,2023/10/07,1,"",,,,,,,5.0,,"",,"",Yes
Parker Girls #8,Terry Moore,"","",digital,read,2023/08/09,2023/08/12,2023/08/12,1,"",,,,,,,,,"",,"",No
Serial Omnibus,"Terry Moore, Terry Moore","",,hardcover,read,2022/04/14,2022/04/11,2022/04/11,1,"",,,,,,,5.0,,"",,"",Yes
Fahrenheit 451,Ray Bradbury,"",0345342968,paperback,read,2025/03/02,"","",1,"",,,,,,,,,"",,"",Yes
Harry Potter,J.K. Rowling,"",0439358078,paperback,read,2025/03/03,"","",1,"",,,,,,,,,"",,"",No
The Other Queen,Philippa Gregory,"",9780007926060,paperback,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",No
The Six Wives of Henry VIII,Alison Weir,"",9780802114976,hardcover,read,2014/03/20,2014/03/29,2014/03/29,3,"",,,,,,,5.0,,"",,"",Yes
Deadline,Mira Grant,"","",digital,read,2015/03/23,2015/03/23,2015/03/23,3,"",,,,,,,4.0,,"",,"",Yes
Wolf Hall,Hilary Mantel,"","",digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
Oedipus Rex,Sophocles,"J.E. Thomas, Alphonse Dain, Paul Mazon",9781580495936,paperback,read,2013/02/22,"","",1,"",,,,,,,4.0,,"",,"",No
The King's Pleasure,Alison Weir,"",B0B966ZQZM,digital,read,2023/07/22,2025/07/23,"2025/07/12-2025/07/23, 2025/03/28-2025/03/31, 2023/08/01",3,"",,,,,,,5.0,,"",,"",Yes
Gleanings,Neal Shusterman,"",9781534499973,hardcover,read,2023/10/11,2023/10/13,2023/10/13,1,"",,,,,,,5.0,,"",,"",Yes
Beloved,Toni Morrison,"",9780452280625,paperback,read,2013/02/17,"","",1,"",,,,,,,2.0,,"",,"",Yes
The Devil Wears Prada,Lauren Weisberger,"",9780307275554,paperback,read,2013/12/02,"","",1,"",,,,,,,3.0,,"",,"",No
Night Shift,Stephen King,"",0450042685,paperback,read,2019/09/27,"","",1,"",,,,,,,4.0,,"",,"",No
Four Blind Mice,James Patterson,"",9780747266921,paperback,read,2011/06/25,"","",1,"",,,,,,,3.0,,"",,"",Yes
The Dirty Girls Social Club,Alisa Valdes,"",9780312313814,hardcover,read,2011/04/10,2014/05/20,2014/05/20,5,"",,,,,,,4.0,,"",,"",Yes
The Ten-Year Nap,Meg Wolitzer,"",9781594489785,hardcover,read,2011/04/09,2010/01/01,2010/01/01,1,"",,,,,,,3.0,,"",,"",No
Unwind,Neal Shusterman,"","",digital,read,2023/10/15,2023/10/18,2023/10/18,1,"",,,,,,,5.0,,"",,"",Yes
Maus: A Survivor's Tale,Art Spiegelman,"",9780394747231,paperback,read,2011/04/10,"","",1,"",,,,,,,5.0,,"",,"",No
Parker Girls #3,Terry Moore,"",B0BKNWDG1Z,digital,read,2022/11/27,2022/11/22,2022/11/22,2,"",,,,,,,5.0,,"",,"",No
The Queen's Vow: A Novel of Isabella of Castile,C.W. Gortner,"",9780345523969,hardcover,read,2012/09/27,2025/02/19,"2025/02/18-2025/02/19, 2012/09/28",4,"",,,,,,,5.0,,"",,"",Yes
I Could Pee on This: And Other Poems by Cats,Francesco Marciuliano,"",9781452110585,hardcover,read,2013/03/30,"","",1,"",,,,,,,3.0,,"",,"",Yes
The Romanov Empress,C.W. Gortner,"",B076GQKBCD,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
The Last Tudor,Philippa Gregory,"",9781476758763,hardcover,read,2017/08/16,2017/08/21,2017/08/21,5,"",,,,,,,4.0,,"",,"",Yes
The Sun Also Rises,Ernest Hemingway,"",9780020518709,paperback,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
Pride and Prejudice,Jane Austen,"",9780141040349,hardcover,read,2017/09/21,"","",1,"",,,,,,,,,"",,"",Yes
The Wars of the Roses,Alison Weir,"",9780345391179,hardcover,read,2011/04/09,2013/01/23,2013/01/23,1,"",,,,,,,4.0,,"",,"",Yes
